field_name	field_description
amount	预计合同金额；类型：money；Java类型：BigDecimal；数据库类型：decimal；单位：元；说明：预计合同金额；处理：保留；优先级：95
discountRate	折扣率；类型：text；Java类型：String；数据库类型：nvarchar；说明：自由文本，如 9折 或 85%；处理：保留
predictCloseDate	预计成交日期；类型：date；Java类型：String；数据库类型：nvarchar；格式：YYYY-MM-DD；VO字段：expectedDealDate；说明：预计成交日期；处理：保留；优先级：91
predictTenderDate	预计开标日期；类型：date；Java类型：String；数据库类型：nvarchar；格式：YYYY-MM-DD；VO字段：expectedBidDate；说明：预计开标日期；处理：保留；优先级：90
tenderType	招标类型；类型：enum；Java类型：Integer；数据库类型：int；枚举：1=公开招标|2=邀标|3=不招标；说明：招标类型；处理：保留；优先级：89
tenderBlueprintDate	设计蓝图日期；类型：date；Java类型：String；数据库类型：nvarchar；格式：YYYY-MM-DD；说明：设计蓝图日期；处理：保留
tenderStatus	招标状态；类型：legacy；Java类型：Integer；数据库类型：int；说明：历史字段，当前业务已停用，仅保留兼容；处理：忽略
visitType	拜访方式；类型：text；Java类型：String；数据库类型：nvarchar；说明：前端自由文本输入；处理：保留
isProjectStarted	项目是否启动；类型：legacy；Java类型：Integer；数据库类型：int；说明：历史字段，当前业务已停用，仅保留兼容；处理：忽略
budgetConfirmed	预算是否确认；类型：legacy；Java类型：Integer；数据库类型：int；说明：历史字段，当前业务已停用，仅保留兼容；处理：忽略
budgetAmount	预算金额；类型：legacy-money；Java类型：BigDecimal；数据库类型：decimal；单位：元；说明：历史字段，当前业务已停用，仅保留兼容；处理：忽略
stageHistory	阶段变更历史；类型：json；Java类型：String；数据库类型：nvarchar(max)；说明：JSON 数组字符串，每项包含 stage、enterTime、leaveTime、stayDays；处理：保留
isClosed	是否已关闭；类型：enum；Java类型：Integer；数据库类型：int；枚举：0=未关闭|1=已关闭；说明：赢单与输单均视为关闭；处理：保留
projectBudgetAndSchedule	项目预算及进度说明；类型：text；Java类型：String；数据库类型：nvarchar；说明：自由文本；处理：保留
projectReasonAndStandard	立项原因及标准说明；类型：text；Java类型：String；数据库类型：nvarchar；说明：自由文本；处理：保留
productShare	核心参数是否满足；类型：enum；Java类型：String；数据库类型：nvarchar；枚举：satisfied=满足|partiallySatisfied=部分满足|notSatisfied=不满足|pending=待确认；说明：核心参数是否满足 code；处理：保留
canControlBid	推荐品牌能否替换；类型：enum；Java类型：String；数据库类型：nvarchar；枚举：replaceable=可以替换|partialReplaceable=部分可替换|nonReplaceable=不能替换|pending=待确认；说明：推荐品牌能否替换 code；处理：保留
controlBidPlan	控标方案说明；类型：text；Java类型：String；数据库类型：nvarchar；说明：自由文本；处理：保留
integratorCoverage	集成商控制力；类型：enum；Java类型：String；数据库类型：nvarchar；VO字段：integratorControl；枚举：strong=强|medium=中|weak=弱|pending=待确认；说明：集成商控制力 code；处理：保留
integratorInfluence	其他集成商影响说明；类型：text；Java类型：String；数据库类型：nvarchar；VO字段：otherIntegratorInfluence；说明：自由文本；处理：保留
integratorKeyPerson	集成商关键人说明；类型：text；Java类型：String；数据库类型：nvarchar；说明：自由文本；处理：保留
competitorSituation	竞争对手情况；类型：text；Java类型：String；数据库类型：nvarchar；说明：自由文本；处理：保留
competitor	竞争对手名称；类型：legacy；Java类型：String；数据库类型：nvarchar；说明：历史字段，当前被 competitorSituation 替代，仅保留兼容；处理：忽略
tenderFlowAndKeyPerson	招标流程及关键人说明；类型：text；Java类型：String；数据库类型：nvarchar；说明：自由文本；处理：保留
tenderTime	投标时间；类型：date；Java类型：String；数据库类型：nvarchar；格式：YYYY-MM-DD；说明：投标时间；处理：保留
bidTime	开标时间；类型：date；Java类型：String；数据库类型：nvarchar；格式：YYYY-MM-DD；说明：开标时间；处理：保留
purchaseTime	采购时间；类型：date；Java类型：String；数据库类型：nvarchar；格式：YYYY-MM-DD；说明：采购时间；处理：保留
customerPainPoint	客户痛点说明；类型：legacy；Java类型：String；数据库类型：nvarchar；说明：历史字段，当前已合并入 remark；处理：忽略
initialPlanSummary	初步方案摘要；类型：text；Java类型：String；数据库类型：nvarchar；说明：自由文本；处理：保留
smartInputText	智能录入原始文本；类型：text；Java类型：String；数据库类型：nvarchar(max)；说明：用户粘贴的原始内容；处理：保留
smartContacts	智能录入联系人；类型：json；Java类型：String；数据库类型：nvarchar(max)；说明：JSON 数组字符串；处理：保留
loseReason	输单原因；类型：enum；Java类型：String；数据库类型：nvarchar；格式：多选逗号分隔；枚举：价格原因|质量原因|客户关系原因|产品功能|产品品牌|服务问题|付款方式|工程商未中标|人脉关系|用户搁置或取消|销售场景错误|未投标|其他；兼容旧编码：1=价格原因|2=质量原因|3=客户关系原因|4=产品功能|5=产品品牌|6=服务问题|7=付款方式|8=工程商未中标|9=人脉关系|10=用户搁置或取消|11=销售场景错误|12=未投标|13=其他；处理：保留
loseDesc	输单说明；类型：text；Java类型：String；数据库类型：nvarchar；说明：自由文本；处理：保留
customerConcern	客户关切；类型：legacy；Java类型：String；数据库类型：nvarchar；说明：历史字段，当前已合并入 remark，写入时不再单独存储；处理：忽略
loseTime	输单时间；类型：datetime；Java类型：String；数据库类型：nvarchar；格式：YYYY-MM-DD HH:mm:ss；说明：输单时间；处理：保留
loseUserId	输单操作人ID；类型：system-id；Java类型：Long；数据库类型：bigint；说明：输单操作人ID；处理：忽略
loseUserName	输单操作人姓名；类型：text；Java类型：String；数据库类型：nvarchar；说明：输单操作人姓名；处理：忽略
latestFollowTime	最近跟进时间；类型：datetime；Java类型：String；数据库类型：nvarchar；格式：YYYY-MM-DD HH:mm:ss；说明：每次新增跟进记录时自动更新；处理：保留
remark	备注；类型：text；Java类型：String；数据库类型：nvarchar；说明：备注，自由文本；处理：保留
createUserId	创建人用户ID；类型：system-id；Java类型：Long；数据库类型：bigint；说明：创建人用户ID；处理：忽略
createUser	创建人姓名；类型：text；Java类型：String；数据库类型：nvarchar；说明：创建人姓名；处理：忽略
updateUserId	最后更新人用户ID；类型：system-id；Java类型：Long；数据库类型：bigint；说明：最后更新人用户ID；处理：忽略
updateUser	最后更新人姓名；类型：text；Java类型：String；数据库类型：nvarchar；说明：最后更新人姓名；处理：忽略
createTime	创建时间；类型：datetime；Java类型：String；数据库类型：nvarchar；格式：YYYY-MM-DD HH:mm:ss；说明：创建时间；处理：忽略
updateTime	最后更新时间；类型：datetime；Java类型：String；数据库类型：nvarchar；格式：YYYY-MM-DD HH:mm:ss；说明：最后更新时间；处理：忽略
